X,Y,OBJECTID,RECORDNUM,SETDATE,SETYEAR,COMMENTS,MCD,ROUTE,ROAD,CNTDIR,FROMLMT,TOLMT,TYPE,LATITUDE,LONGITUDE,FACTOR,AXLE,OUTDIR,INDIR,AADB,UPDATED,CO_NAME,MUN_NAME,GLOBALID,PROGRAM,BIKEPEDGRO,BIKEPEDFAC
-75.172527774167435,39.953553065418781,54151,142641,2018-10-03T00:00:00.000Z,2018,,4210160103,3,market st north side,east,20th st,19th st,Bicycle 2,39.953545,-75.172526,0,0,W,E,511,2019-06-19T16:08:51.000Z,Philadelphia,Central,7fe0abe7-a3a7-418a-984a-fddb9741ff95,,Mixed,
-75.165774771493261,39.953798065259647,54152,142508,2018-08-02T00:00:00.000Z,2018,,4210160103,3,j f kennedy blvd north side,west,16th st,15th st,Bicycle 2,39.95379,-75.165773,0,0,E,W,1,2019-06-19T16:08:51.000Z,Philadelphia,Central,87ab5bd4-7eb6-49f9-a6ac-478dad9b3354,Project,Low Volume,Mixed Traffic
-75.166265772088522,39.952776065328351,54153,142500,2018-08-03T00:00:00.000Z,2018,,4210160103,3,market st north side,east,16th st,15th st,Bicycle 2,39.952768,-75.166264,0,1,W,E,547,2019-06-19T16:08:51.000Z,Philadelphia,Central,95654024-b730-46ed-bdab-9283f5137155,Project,Low Volume,Mixed Traffic
-75.172271773840492,39.954600064944756,54154,142649,2018-10-03T00:00:00.000Z,2018,,4210160103,3,j f kennedy blvd north side,west,20th st,19th st,Bicycle 2,39.954592,-75.17227,0,0,E,W,54,2019-06-19T16:08:51.000Z,Philadelphia,Central,9811b6d8-55a4-4e11-8296-4875604f97ad,,Mixed,
-75.165774771493261,39.953798065259647,54155,142645,2018-10-03T00:00:00.000Z,2018,,4210160103,3,j f kennedy blvd north side,west,16th st,15th st,Bicycle 2,39.95379,-75.165773,0,0,E,W,560,2019-06-19T16:08:51.000Z,Philadelphia,Central,981b991b-eb7a-4274-a5d2-5ecac4c96258,,Mixed,
-75.172271773840492,39.954600064944756,54156,142512,2018-08-03T00:00:00.000Z,2018,,4210160103,3,j f kennedy blvd north side,west,20th st,19th st,Bicycle 2,39.954592,-75.17227,0,0,E,W,80,2019-06-19T16:08:51.000Z,Philadelphia,Central,b3793dee-6f24-4956-bbf6-2f8bf5543e9b,Project,Mixed,Mixed Traffic
-75.172527774167435,39.953553065418781,54157,142504,2018-08-03T00:00:00.000Z,2018,,4210160103,3,market st north side,east,20th st,19th st,Bicycle 2,39.953545,-75.172526,0,0,W,E,507,2019-06-19T16:08:51.000Z,Philadelphia,Central,bb961cb8-dba4-40b4-8f4a-d44b689abeef,Project,Mixed,Mixed Traffic
-75.172304773465896,39.954440065510823,54158,142650,2018-10-03T00:00:00.000Z,2018,,4210160103,3,j f kennedy blvd south side,west,20th st,19th st,Bicycle 2,39.954432,-75.172303,0,0,E,W,225,2019-06-19T16:08:51.000Z,Philadelphia,Central,c703f5c3-8f71-45a7-8c2d-eb410642dc1f,,Mixed,
-75.23446279485124,39.968213065758547,54159,142622,2018-10-04T00:00:00.000Z,2018,,4210160111,0,haverford ave westbound lanes,west,58th st,57th st,Bicycle 2,39.968205,-75.234461,0,0,E,W,67,2019-06-19T16:08:51.000Z,Philadelphia,West,c8011d0c-e60c-4697-a18e-406e56a34bbb,Project,Mixed,Bike Lane
-75.166285772126059,39.952670065235054,54160,142501,2018-08-03T00:00:00.000Z,2018,,4210160103,3,market st south side,east,16th st,15th st,Bicycle 2,39.952662,-75.166284,1,1,W,E,238,2019-06-19T16:08:51.000Z,Philadelphia,Central,c937bde0-1017-4a61-81ad-75c8982366c6,Project,Mixed,Mixed Traffic
